ptaz,ataz,da,s2,s3,wt,dt,wk,bk
658,1133,0.0099299966446372,0.0,0.0,0.0,0.0,7.247808150855765e-06,6.275554721194496e-05
660,649,0.009758646177492765,0.0,0.0,0.0,0.0,9.985360610808064e-05,0.00014150021639915817
660,652,0.04860083140789035,0.0,0.0,0.0,0.0,0.0006704293318032073,0.0007287392603064103
660,658,0.009505513944429398,0.0,0.0,0.0,0.0,0.000377773319704414,0.00011671273586619197
660,661,0.009219559150147154,0.0,0.0,0.0,0.0,0.0006204196183430291,0.00016002123150981204
660,710,0.00998480964174512,0.0,0.0,0.0,0.0,1.5190358254882352e-05,0.0
660,1079,0.009518544510774316,0.0,0.0,0.0,0.0,0.0003981379576853643,8.331753154032041e-05
660,1080,0.04419324066567954,0.0,0.0,0.0,0.0,0.005176353585023815,0.0006304057492966539
660,1081,0.04465844626468048,0.0,0.0,0.0,0.0,0.004737085719412608,0.0006044680159069046
660,1084,0.009385439054917849,0.0,0.0,0.0,0.0,0.0005344612651646919,8.009967991746134e-05
660,1085,0.009743811538066558,0.0,0.0,0.0,0.0,0.00020890951182391166,4.727895010953216e-05
660,1088,0.009856450800405495,0.0,0.0,0.0,0.0,6.0198655814628354e-05,8.335054377986859e-05
660,1126,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
660,1127,0.02,0.0,0.0,0.0,0.0,0.0,0.0
660,1132,0.02,0.0,0.0,0.0,0.0,0.0,0.0
661,649,0.019452755457717057,0.0,0.0,0.0,0.0,0.0002282461107249589,0.00031899843155798794
661,652,0.15506549097348118,0.009691593185842574,0.0,0.0,0.0,0.002449005568879876,0.0027939102717961677
661,658,0.02912713513871103,0.0,0.0,0.0,0.0,0.0005526240260093678,0.00032024083527959696
661,660,0.009219559150147156,0.0,0.0,0.0,0.0,0.0006204196183430291,0.00016002123150981207
661,661,0.018570099676933068,0.0061900332256443575,0.0,0.0,0.0,0.024685963813130683,0.0005539032842919005
661,663,0.018741517237436948,0.0,0.0,0.0,0.0,0.0009244008843044588,0.0003340818782586044
661,710,0.019985484926816444,0.0,0.0,0.0,0.0,1.4515073183559577e-05,0.0
661,1079,0.019660762522254127,0.0,0.0,0.0,0.0,0.00017466241860870503,0.00016457505913717172
661,1080,0.07703278550251867,0.0,0.0,0.0,0.0,0.0019163717504653965,0.0010508427470159057
661,1081,0.07725937331161849,0.0,0.0,0.0,0.0,0.0017405836043406534,0.0010000430840408888
661,1084,0.009803394932085608,0.0,0.0,0.0,0.0,0.00011739004477484312,7.921502313955048e-05
661,1085,0.019811821655501008,0.0,0.0,0.0,0.0,9.1123998131378e-05,9.7054346367611e-05
661,1088,0.029691693982289588,0.0,0.0,0.0,0.0,8.571060861779504e-05,0.00022259540909261226
661,1126,0.03,0.0,0.0,0.0,0.0,0.0,0.0
661,1127,0.03,0.0,0.0,0.0,0.0,0.0,0.0
661,1132,0.04,0.0,0.0,0.0,0.0,0.0,0.0
663,649,0.03695022849000091,0.0,0.0,0.0,0.0,0.0023737495062424825,0.0006760220037566158
663,652,0.2059524676993895,0.009361475804517705,0.0,0.0,0.0,0.010768463987074844,0.003917592509018076
