,oid_,id,zone_id,co_tazid,tazid,co_fips,co_name,residentia,households,population,jobs1,jobs3,jobs4,jobs5,jobs6,jobs7,jobs9,jobs10,avgincome,enrol_elem,enrol_midl,enrol_high,hhsize_lc1,hhsize_lc2,hhsize_lc3,pct_poplc1,pct_poplc2,pct_poplc3,pct_ag1,pct_ag2,pct_ag3,inc1,inc2,inc3,inc4,park_score,park_area,school_cd,coll_enrol,th_score,comm_rail,light_rail,gqu_ratio,node_id,jobs_total,mixed_use,area_sqmil
9441,9441,0,9444,351010,1010,35,SALT LAKE,0,166,443,1,4,5,20,20,157,7,7,47302.0,0.003386005,0.0,0.0,1.8965,4.4635,1.8315,0.355,0.4925,0.1525,0.1075,0.7425,0.15,0.284716353,0.252051503,0.280221051,0.183011094,0,0,0,0,0,0,0,0.0,76462,207,92.1233244,0.0617763
9484,9484,0,9487,351092,1092,35,SALT LAKE,0,132,264,0,66,12,0,0,27,18,0,44510.49,1.356363636,0.527878788,3.355378788,1.6033,4.0651,1.5678,0.2527,0.3685,0.3788,0.1007,0.5256,0.3737,0.391233053,0.254915541,0.202758266,0.15109314,0,0,2,0,0,0,0,0.144382419,72902,105,58.48101266,0.0617763
9485,9485,0,9488,350748,748,35,SALT LAKE,0,141,529,0,13,0,0,0,0,0,0,39247.0,2.597353497,0.166351607,0.0,2.35,5.5,2.24,0.29,0.65,0.06,0.35,0.6,0.05,0.368616807,0.26707881,0.236087656,0.128216727,0,0,3,0,0,0,0,0.0,75862,13,11.9025974,0.0617763
9540,9540,0,9543,350805,805,35,SALT LAKE,0,0,0,0,2,1,5,1,44,11,7,25270.8275,0.0,0.0,0.0,0.6554,1.545275,0.6215,0.093225,0.867225,0.03955,0.05085,0.912425,0.036725,0.662,0.288,0.04,0.01,0,0,0,0,0,0,0,0.0,76588,53,0.0,0.0617763
9555,9555,0,9558,351143,1143,35,SALT LAKE,0,397,810,20,11,0,289,112,171,3,31,17918.0,0.0,0.0,0.222222222,1.53,3.635,1.48,0.335,0.53,0.135,0.17,0.705,0.125,0.689376138,0.289304555,0.0198254,0.001493908,0,0,0,0,0,0,0,0.0,70735,603,239.391,0.0617763
9583,9583,0,9586,350804,804,35,SALT LAKE,0,147,621,14,16,2,34,8,91,49,25,31875.0,0.427214171,0.0,0.0,2.328,5.651,2.239,0.273,0.634,0.093,0.348,0.569,0.083,0.439219931,0.276316112,0.194433327,0.090030631,0,0,0,0,0,0,0,0.0,70989,165,77.74038462,0.0617763
9586,9586,0,9589,350783,783,35,SALT LAKE,0,0,0,0,1,0,15,1,14,0,10,54363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,72649,31,0.0,0.0617763
9591,9591,0,9594,350801,801,35,SALT LAKE,0,96,424,0,37,0,0,0,0,0,0,41581.0,1.408018868,1.924528302,0.0,2.42,5.67,2.41,0.29,0.62,0.09,0.32,0.6,0.08,0.341816251,0.262984599,0.251194902,0.144004249,0,0,3,0,0,0,0,0.0,71526,37,26.70676692,0.0617763
9597,9597,0,9600,350779,779,35,SALT LAKE,0,0,0,0,15,0,114,18,84,0,225,54363.0,0.0,0.0,0.0,1.0,2.17,1.0,0.28,0.62,0.1,0.32,0.59,0.09,0.226932668,0.236907731,0.304239401,0.2319202,0,0,0,0,0,0,0,0.0,73697,231,0.0,0.0617763
9605,9605,0,9608,350785,785,35,SALT LAKE,0,370,846,0,18,3,57,10,48,0,87,39763.25,0.0,0.0,0.0,1.484,3.3965,1.4785,0.2855,0.62,0.0945,0.309,0.6065,0.0845,0.520683961,0.28329516,0.141724756,0.054296123,0,0,0,0,0,0,0,0.0,73155,136,99.44664032,0.0617763
