,link_id,from_node,from_x,from_y,to_node,to_x,to_y,Name,Oneway,Speed,AutoNetwork,BikeNetwork,PedNetwork,DriveTime,BikeTime,Pedestrian,Length_Miles,ConnectorN,RoadClass,AADT,Length_Meters,Signal,Sig_Count,BIKE_L,BIKE_R,Bike_Lane,Bike_Path,Bike_Blvd,from_z,to_z,Slope_AB,Slope_BA,Slope_Per
92318,92318,71442,431266.4,4506953.3,71376,431363.8,4506868.2,KENTON DR,B,25,Y,Y,Y,0.20240426136,0.460009684909,1.6322924303200002,0.0843351088636999,N,"11 Other Local, Neighborhood, Rural Roads",0,135.72424342899998,0,0, , ,0,0,0,1447,1452,-3.6839402259152014,3.6839402259152014,3.6839402259152014
92335,92335,71454,429546.8,4506965.1,71407,429546.16,4506924.720000001,2000 E,B,25,Y,Y,Y,0.0602258695199999,0.136876976182,0.4856924961289999,0.0250941122619,N,10 Other Federal Aid Eligible Local Roads,0,40.3850714982,0,0,3A, ,1,0,0,1381,1380,2.4761625098139817,-2.4761625098139817,2.4761625098139817
92336,92336,71454,429546.8,4506965.1,79577,429626.4,4506964.0,HIGHLAND VIEW CIR,B,25,Y,Y,Y,0.1187180498399999,0.2698137496359999,0.957403627742,0.0494658541073,N,"11 Other Local, Neighborhood, Rural Roads",0,79.60760014119998,0,0, , ,0,0,0,1381,1382,-1.256161469792206,1.256161469792206,1.256161469792206
92348,92348,71460,429933.5,4506970.9,71352,429932.2,4506851.5,CONNOR ST,B,25,Y,Y,Y,0.17807062728,0.404705971091,1.43605344581,0.0741960947453,N,"11 Other Local, Neighborhood, Rural Roads",0,119.407076843,0,0, , ,0,0,0,1389,1388,0.8374713010643664,-0.8374713010643664,0.8374713010643664
92351,92351,71462,429790.3,4506972.8,71460,429933.5,4506970.9,CLAYBOURNE AVE,B,25,Y,Y,Y,0.21357158184,0.4853899587269999,1.72235146645,0.08898815908,N,"11 Other Local, Neighborhood, Rural Roads",0,143.212604193,0,0, , ,0,0,0,1385,1389,-2.7930502503881662,2.7930502503881662,2.7930502503881662
92370,92370,71468,430359.8,4506984.399999999,71397,430359.4,4506907.5,2300 E,B,35,Y,Y,Y,0.0819155593713999,0.260640416182,0.924853089677,0.047784076315,N,"8 Major Local Roads, Paved",21000,76.9010403045,0,0,2B,2B,1,0,0,1409,1404,6.501862627868009,-6.501862627868009,6.501862627868009
92371,92371,71469,430268.7,4506984.2,71470,430324.2,4506984.6,CLAYBOURNE AVE,B,25,Y,Y,Y,0.08276876688,0.188110833818,0.667490055484,0.034486986158,N,"11 Other Local, Neighborhood, Rural Roads",0,55.5014414223,0,0, , ,0,0,0,1401,1406,-9.00877503695074,9.00877503695074,9.00877503695074
92372,92372,71470,430324.2,4506984.6,71468,430359.8,4506984.399999999,CLAYBOURNE AVE,B,25,Y,Y,Y,0.05309077608,0.138257229375,0.42815142,0.0221211566819,N,10 Other Federal Aid Eligible Local Roads,2700,35.6005617931,0,0,2B,2B,0,0,0,1406,1409,-8.426833310763797,8.426833310763797,8.426833310763797
92375,92375,71468,430359.8,4506984.399999999,79572,430444.6,4506985.699999999,CLAYBOURNE AVE,B,25,Y,Y,Y,0.12682284264,0.288233733273,1.02276486,0.0528428511333,N,"11 Other Local, Neighborhood, Rural Roads",2700,85.0423517243,0,0,3B,3B,0,0,1,1409,1414,-5.879423485617578,5.879423485617578,5.879423485617578
92376,92376,71471,430125.5,4506986.6,71472,430177.7,4506986.6,CLAYBOURNE AVE,B,25,Y,Y,Y,0.07784535888,0.176921270182,0.627785152258,0.0324355662003,N,"11 Other Local, Neighborhood, Rural Roads",0,52.2000000004,0,0, , ,0,0,0,1393,1396,-5.747126436737569,5.747126436737569,5.747126436737569
92377,92377,71472,430177.7,4506986.6,71417,430179.9,4506928.7,DARD HILLS CT,B,25,Y,Y,Y,0.0864080219999999,0.1963818681819999,0.696838887097,0.0360033424781999,N,"11 Other Local, Neighborhood, Rural Roads",0,57.94178112310001,0,0, , ,0,0,0,1396,1395,1.7258703143340617,-1.7258703143340617,1.7258703143340617
92378,92378,71472,430177.7,4506986.6,71469,430268.7,4506984.2,CLAYBOURNE AVE,B,25,Y,Y,Y,0.13575461496,0.308533215818,1.09479528194,0.05656442295,N,"11 Other Local, Neighborhood, Rural Roads",0,91.0316428511,0,0, , ,0,0,0,1396,1401,-5.492595589182626,5.492595589182626,5.492595589182626
92385,92385,71477,429933.5,4506989.6,71460,429933.5,4506970.9,CONNOR ST,B,25,Y,Y,Y,0.02788713048,0.063379842,0.224896213548,0.0116196376984,N,"11 Other Local, Neighborhood, Rural Roads",0,18.6999999974,0,0, , ,0,0,0,1389,1389,0.0,0.0,0.0
92386,92386,71477,429933.5,4506989.6,71471,430125.5,4506986.6,CLAYBOURNE AVE,B,25,Y,Y,Y,0.2863627068,0.650824333636,2.30937666774,0.119317794494,N,"11 Other Local, Neighborhood, Rural Roads",0,192.023436069,0,0, , ,0,0,0,1389,1393,-2.0830790667461416,2.0830790667461416,2.0830790667461416
92427,92427,71491,429545.9,4507017.6,71454,429546.8,4506965.1,2000 E,B,25,Y,Y,Y,0.07830424944,0.20391731625,0.631485882581,0.0326267705813,N,10 Other Federal Aid Eligible Local Roads,12000,52.507713719,0,0,3A, ,0,0,0,1381,1381,0.0,0.0,0.0
92431,92431,71493,431161.3,4507018.800000001,71356,431159.8,4506856.0,2700 E,B,25,Y,Y,Y,0.24279238224,0.551800868727,1.95800308258,0.101163492582,N,10 Other Federal Aid Eligible Local Roads,3300,162.806910174,0,0,3A,3A,1,0,0,1442,1443,-0.614224543006958,0.614224543006958,0.614224543006958
92432,92432,71493,431161.3,4507018.800000001,71442,431266.4,4506953.3,KENTON DR,B,25,Y,Y,Y,0.18468088776,0.419729290364,1.48936199806,0.0769503698887,N,"11 Other Local, Neighborhood, Rural Roads",0,123.839654391,0,0, , ,0,0,0,1442,1447,-4.037478967934986,4.037478967934986,4.037478967934986
92459,92459,71499,431161.6,4507029.699999999,71493,431161.3,4507018.800000001,2700 E,B,25,Y,Y,Y,0.01626122088,0.0369573201818,0.131138878065,0.00677550870829,N,10 Other Federal Aid Eligible Local Roads,3300,10.9041276601,0,0,3A,3A,1,0,0,1441,1442,-9.170839072795935,9.170839072795935,9.170839072795935
92465,92465,71501,430268.9,4507030.1,71469,430268.7,4506984.2,CLAYBOURNE CIR,B,25,Y,Y,Y,0.06845087904,0.155570179636,0.552023218065,0.0285211996494,N,"11 Other Local, Neighborhood, Rural Roads",0,45.9004357291,0,0, , ,0,0,0,1403,1401,4.357257111465803,-4.357257111465803,4.357257111465803
92469,92469,71504,430955.72,4507031.25,71499,431161.6,4507029.699999999,HERITAGE WAY,B,25,Y,Y,Y,0.53212202664,1.20936824236,4.29130666645,0.127931486948,N,10 Other Federal Aid Eligible Local Roads,4200,205.885834627,0,0,3A,3A,1,0,0,1434,1441,-3.3999425034178703,3.3999425034178703,3.3999425034178703
92479,92479,71509,430804.8,4507033.3,71429,430804.4,4506934.8,2520 E,B,25,Y,Y,Y,0.14689331568,0.333848444727,1.18462351355,0.0612055481647,N,"11 Other Local, Neighborhood, Rural Roads",0,98.5008121794,0,0, , ,0,0,0,1428,1427,1.0152200554231932,-1.0152200554231932,1.0152200554231932
92480,92480,71509,430804.8,4507033.3,71504,430955.72,4507031.25,HERITAGE WAY,B,25,Y,Y,Y,0.53212202664,1.20936824236,4.29130666645,0.0937860241846999,N,10 Other Federal Aid Eligible Local Roads,4200,150.93402200099996,0,0,3A,3A,1,0,0,1428,1434,-3.975246879699694,3.975246879699694,3.975246879699694
92488,92488,71510,430706.3,4507034.7,71509,430804.8,4507033.3,HERITAGE WAY,B,25,Y,Y,N,0.14690694096,0.333879411273,1.18473339484,0.0612112253561,N,10 Other Federal Aid Eligible Local Roads,4200,98.5099487361,0,0, , ,1,0,0,1422,1428,-6.090755377483246,6.090755377483246,6.090755377483246
92489,92489,71511,430605.6,4507035.6,71395,430604.6,4506905.8,LAKEVIEW DR,B,25,Y,Y,Y,0.1935752383199999,0.439943723455,1.5610906316100002,0.0806563493335,N,"11 Other Local, Neighborhood, Rural Roads",0,129.80385202,0,0, , ,0,0,0,1418,1418,0.0,0.0,0.0
92490,92490,71511,430605.6,4507035.6,71510,430706.3,4507034.7,HERITAGE WAY,B,25,Y,Y,Y,0.15017894088,0.341315774727,1.21112049097,0.0625745587088,N,10 Other Federal Aid Eligible Local Roads,4200,100.704021766,0,0, , ,1,0,0,1418,1422,-3.972036001992616,3.972036001992616,3.972036001992616
92491,92491,71512,430484.42,4507036.94,71511,430605.6,4507035.6,HERITAGE WAY,B,25,Y,Y,Y,0.18072561912,0.410740043455,1.45746467032,0.0753023412612,N,10 Other Federal Aid Eligible Local Roads,4200,121.187408587,0,0, , ,1,0,0,1415,1418,-2.4755047038127818,2.4755047038127818,2.4755047038127818
92493,92493,71514,430463.9900000001,4507037.17,79572,430444.6,4506985.699999999,CLAYBOURNE AVE,B,25,Y,Y,Y,0.09076107984,0.206275181455,0.7319441922579999,0.0378171165931,N,"11 Other Local, Neighborhood, Rural Roads",2700,60.8607685153,0,0,3B,3B,0,0,1,1415,1414,1.643094598367759,-1.643094598367759,1.643094598367759
92494,92494,71514,430463.9900000001,4507037.17,71512,430484.42,4507036.94,HERITAGE WAY,B,25,Y,Y,Y,0.0304689935999999,0.0692477127273,0.245717690323,0.0126954139714,N,10 Other Federal Aid Eligible Local Roads,4200,20.4312946233,0,0,3A,3A,1,0,0,1415,1415,0.0,0.0,0.0
92495,92495,71515,430361.48999999993,4507037.350000001,71468,430359.8,4506984.399999999,2300 E,B,35,Y,Y,N,0.0564314544,0.179554627636,0.6371293238710001,0.0329183484248,N,"11 Other Local, Neighborhood, Rural Roads",21000,52.9769629171,0,0,2B,2B,0,0,0,1411,1409,3.77522585265913,-3.77522585265913,3.77522585265913
92502,92502,71519,429546.1,4507038.7,71491,429545.9,4507017.6,2000 E,B,25,Y,Y,Y,0.03146764104,0.081946981875,0.25377129871,0.0131115170637999,N,10 Other Federal Aid Eligible Local Roads,12000,21.1009478456,0,0, , ,0,0,0,1381,1381,0.0,0.0,0.0
92507,92507,71519,429546.1,4507038.7,71536,429641.3,4507039.7,YUMA VIEW DR,B,25,Y,Y,Y,0.14197867824,0.322678814182,1.14498934065,0.0591577826123,N,"11 Other Local, Neighborhood, Rural Roads",0,95.2052519546,0,0, , ,0,0,0,1381,1383,-2.1007244442289057,2.1007244442289057,2.1007244442289057
92541,92541,71536,429641.3,4507039.7,71539,429658.7,4507055.2,YUMA ST,B,25,Y,Y,Y,0.03475090632,0.0789793325454999,0.280249244516,0.0144795443093999,N,"11 Other Local, Neighborhood, Rural Roads",0,23.3025749663,0,0, , ,0,0,0,1383,1383,0.0,0.0,0.0
92548,92548,71539,429658.7,4507055.2,71540,429697.4,4507057.100000001,VIMONT AVE,B,25,Y,Y,Y,0.057920484,0.131637463636,0.4671006774189999,0.024133534991,N,"11 Other Local, Neighborhood, Rural Roads",0,38.8391717524,0,0, , ,0,0,0,1383,1384,-2.5747201983992016,2.5747201983992016,2.5747201983992016
92549,92549,71540,429697.4,4507057.100000001,71462,429790.3,4506972.8,YUMA CIR,B,25,Y,Y,Y,0.25629830328,0.5824961438180001,2.06692180065,0.106790959718,N,"11 Other Local, Neighborhood, Rural Roads",0,171.863443446,0,0, , ,0,0,0,1384,1385,-0.5818573048166599,0.5818573048166599,0.5818573048166599
92557,92557,71545,430141.8,4507058.9,71471,430125.5,4506986.6,VENAR CIR,B,25,Y,Y,Y,0.11240650944,0.255469339636,0.906504108387,0.0468360455671,N,"11 Other Local, Neighborhood, Rural Roads",0,75.3753322365,0,0, , ,0,0,0,1396,1393,3.980081959157548,-3.980081959157548,3.980081959157548
92569,92569,71550,431172.3,4507065.6,71499,431161.6,4507029.699999999,2700 E,B,25,Y,Y,Y,0.05742068928,0.130501566545,0.463070074839,0.0239252872236,N,"11 Other Local, Neighborhood, Rural Roads",0,38.5040293538,0,0,3A,3A,0,0,0,1437,1441,-10.3885231419429,10.3885231419429,10.3885231419429
92573,92573,71552,429546.5,4507067.5,71519,429546.1,4507038.7,2000 E,B,25,Y,Y,Y,0.042988278,0.111948640625,0.34667966129,0.0179117825231,N,10 Other Federal Aid Eligible Local Roads,12000,28.826228651,0,0, , ,0,0,0,1381,1381,0.0,0.0,0.0
92611,92611,71566,429933.2899999999,4507088.34,71477,429933.5,4506989.6,CONNOR ST,B,25,Y,Y,Y,0.1472503471199999,0.334659879818,1.18750279935,0.0613543113013,N,"11 Other Local, Neighborhood, Rural Roads",0,98.7402233147,0,0, , ,0,0,0,1389,1389,0.0,0.0,0.0
92614,92614,71567,429791.36,4507090.86,71462,429790.3,4506972.8,2100 E,B,25,Y,Y,Y,0.17608924752,0.400202835273,1.4200745767699998,0.0733705198103,N,"11 Other Local, Neighborhood, Rural Roads",0,118.078442364,0,0, , ,0,0,0,1386,1385,0.8468946405282883,-0.8468946405282883,0.8468946405282883
92615,92615,71567,429791.36,4507090.86,71566,429933.2899999999,4507088.34,VIMONT AVE,B,25,Y,Y,Y,0.2116922064,0.4811186509089999,1.7071952129,0.0882050859926,N,"11 Other Local, Neighborhood, Rural Roads",0,141.952369828,0,0, , ,0,0,0,1386,1389,-2.1133849358309567,2.1133849358309567,2.1133849358309567
92616,92616,71540,429697.4,4507057.100000001,71567,429791.36,4507090.86,VIMONT AVE,B,25,Y,Y,Y,0.15107755872,0.3433580879999999,1.21836740903,0.0629489827642,N,"11 Other Local, Neighborhood, Rural Roads",0,101.306599059,0,0, , ,0,0,0,1384,1386,-1.974205055324401,1.974205055324401,1.974205055324401
92648,92648,71586,430420.63000000006,4507107.74,71514,430463.9900000001,4507037.17,HERITAGE WAY,B,25,Y,Y,Y,0.12351823296,0.280723256727,0.996114781935,0.0514659303586,N,"11 Other Local, Neighborhood, Rural Roads",4200,82.8264118515,0,0,3B,3B,0,0,0,1412,1415,-3.622033036247808,3.622033036247808,3.622033036247808
92649,92649,71587,429656.46,4507108.01,71539,429658.7,4507055.2,YUMA ST,B,25,Y,Y,Y,0.07882585968,0.179149681091,0.635692416774,0.0328441081916,N,"11 Other Local, Neighborhood, Rural Roads",0,52.8574848064,0,0, , ,0,0,0,1384,1383,1.891879652735424,-1.891879652735424,1.891879652735424
92651,92651,71588,430397.04,4507108.91,71515,430361.48999999993,4507037.350000001,2300 E,B,25,Y,Y,Y,0.119842014,0.272368213636,0.966467854839,0.0499341725402,N,"11 Other Local, Neighborhood, Rural Roads",21000,80.3612858343,0,0, , ,0,0,0,1411,1411,0.0,0.0,0.0
92652,92652,71588,430397.04,4507108.91,71586,430420.63000000006,4507107.74,2300 E,TF,25,Y,Y,Y,0.03579807888,0.0813592701818,0.288694184516,0.0149158661724999,N,"11 Other Local, Neighborhood, Rural Roads",0,24.004767156,0,0, , ,0,0,0,1411,1412,-4.165839199777656,4.165839199777656,4.165839199777656
92655,92655,71590,429934.5,4507109.94,71566,429933.2899999999,4507088.34,CONNOR ST,B,25,Y,Y,Y,0.03226237464,0.0733235787273,0.260180440645,0.0134426561151,N,"11 Other Local, Neighborhood, Rural Roads",0,21.6338646558,0,0, , ,0,0,0,1389,1389,0.0,0.0,0.0
92661,92661,71594,430020.84,4507112.870000001,71595,430347.4499999999,4507117.369999999,VIMONT AVE,B,25,Y,Y,Y,0.4879642188,1.10900958818,3.9351953129,0.203318424532,N,"11 Other Local, Neighborhood, Rural Roads",0,327.209387841,0,0, , ,0,0,0,1392,1410,-5.501064660390092,5.501064660390092,5.501064660390092
92662,92662,71595,430347.4499999999,4507117.369999999,71470,430324.2,4506984.6,2300 E,B,25,Y,Y,Y,0.20518083144,0.534325081875,1.65468412452,0.0854920131027,N,10 Other Federal Aid Eligible Local Roads,2700,137.586100901,0,0, , ,0,0,0,1410,1406,2.907270410168973,-2.907270410168973,2.907270410168973
92683,92683,71586,430420.63000000006,4507107.74,71618,430429.6,4507122.620000001,2300 E,TF,25,Y,Y,Y,0.02591051304,0.0588875296363999,0.2089557503229999,0.0107960470907999,N,"11 Other Local, Neighborhood, Rural Roads",0,17.3745589846,0,0, , ,0,0,0,1412,1411,5.755541771657937,-5.755541771657937,5.755541771657937
92688,92688,71595,430347.4499999999,4507117.369999999,71604,430387.7100000001,4507125.36,2730 S,B,25,Y,Y,Y,0.06121029912,0.139114316182,0.493631444516,0.0255042913453,N,"11 Other Local, Neighborhood, Rural Roads",4200,41.0451909492,0,0, , ,0,0,0,1410,1411,-2.436339012864285,2.436339012864285,2.436339012864285
92689,92689,71604,430387.7100000001,4507125.36,71588,430397.04,4507108.91,2300 E,TF,25,Y,Y,Y,0.02820279744,0.0640972669090999,0.227441914839,0.0117511655641,N,"11 Other Local, Neighborhood, Rural Roads",0,18.9116736444,0,0, , ,0,0,0,1411,1411,0.0,0.0,0.0
92690,92690,71605,430968.1699999999,4507127.87,71504,430955.72,4507031.25,Parleys Trail, ,0,N,Y,Y,0.0,0.345043209273,1.22434687161,0.0632578656115,N, ,0,101.80369797,0,0,3A,3A,0,1,0,1430,1434,-3.929130355538498,3.929130355538498,3.929130355538498
92691,92691,71606,429655.6,4507128.419999999,71587,429656.46,4507108.01,YUMA ST,B,25,Y,Y,Y,0.0304642452,0.0692369209091,0.245679396774,0.0126934354692,N,"11 Other Local, Neighborhood, Rural Roads",0,20.4281105316,0,0, , ,0,0,0,1384,1384,0.0,0.0,0.0
92692,92692,71607,429793.3,4507129.6,71567,429791.36,4507090.86,2100 E,B,25,Y,Y,Y,0.05784498432,0.131465873455,0.466491809032,0.0241020768075999,N,"11 Other Local, Neighborhood, Rural Roads",0,38.7885446982,0,0, , ,0,0,0,1386,1386,0.0,0.0,0.0
92699,92699,71550,431172.3,4507065.6,71632,431133.02,4507134.18,Parleys Trail, ,0,N,Y,Y,0.0,0.298211954727,1.05817145226,0.0546721917086999,N, ,0,87.9863909141,0,0, , ,0,1,0,1437,1431,6.819236404249976,-6.819236404249976,6.819236404249976
92701,92701,71512,430484.42,4507036.94,71635,430532.8899999999,4507135.98,Parleys Trail, ,0,N,Y,Y,0.0,0.386791593818,1.37248630065,0.0709111739028,N, ,0,114.12050756,0,0, , ,0,1,0,1415,1413,1.752533390152055,-1.752533390152055,1.752533390152055
92707,92707,71613,430391.64,4507142.579999999,71604,430387.7100000001,4507125.36,2300 E,TF,25,Y,Y,Y,0.0263403132,0.0598643481818,0.212421880645,0.0109751305232,N,"11 Other Local, Neighborhood, Rural Roads",0,17.662765921199995,0,0, , ,0,0,0,1411,1411,0.0,0.0,0.0
92720,92720,71618,430429.6,4507122.620000001,71613,430391.64,4507142.579999999,2300 E,TF,25,Y,Y,Y,0.08213677296,0.1866744839999999,0.6623933303230001,0.0342236554362,N,"11 Other Local, Neighborhood, Rural Roads",0,55.0776515741,0,0, , ,0,0,0,1411,1411,0.0,0.0,0.0
92721,92721,71619,430343.14,4507147.619999999,71595,430347.4499999999,4507117.369999999,2300 E,B,25,Y,Y,Y,0.04556712432,0.11866438625,0.367476809032,0.0189863017919999,N,10 Other Federal Aid Eligible Local Roads,2700,30.5555003243,0,0, , ,0,0,0,1410,1410,0.0,0.0,0.0
92740,92740,71631,431091.0,4507155.619999999,71605,430968.1699999999,4507127.87,Parleys Trail, ,0,N,Y,Y,0.0,0.4273281714549999,1.51632576968,0.0783439707001,N, ,0,126.082438189,0,0, , ,0,1,0,1430,1430,0.0,0.0,0.0
92741,92741,71632,431133.02,4507134.18,71631,431091.0,4507155.619999999,Parleys Trail, ,0,N,Y,Y,0.0,0.159885513273,0.567335692258,0.0293123429853,N, ,0,47.1736579038,0,0, , ,0,1,0,1431,1430,2.119827133268473,-2.119827133268473,2.119827133268473
92748,92748,71635,430532.8899999999,4507135.98,71605,430968.1699999999,4507127.87,Parleys Trail, ,0,N,Y,Y,0.0,1.52605950109,5.41504984258,0.279777575233,N, ,0,450.258501335,0,0, , ,0,1,0,1413,1430,-3.775608889026109,3.775608889026109,3.775608889026109
92757,92757,71639,430490.52,4507171.85,71635,430532.8899999999,4507135.98,Parleys Trail, ,0,N,Y,Y,0.0,0.188416000364,0.668572904516,0.0345424520317,N, ,0,55.590705121000006,0,0, , ,0,1,0,1410,1413,-5.396585622488743,5.396585622488743,5.396585622488743
92804,92804,71652,430337.1,4507193.27,71619,430343.14,4507147.619999999,2300 E,B,25,Y,Y,Y,0.0706448836799999,0.18397105125,0.569716803871,0.0294353681962999,N,10 Other Federal Aid Eligible Local Roads,2700,47.371647850200006,0,0, , ,0,0,0,1409,1410,-2.1109673093117407,2.1109673093117407,2.1109673093117407
92812,92812,71654,430164.0,4507195.6,71652,430337.1,4507193.27,2700 S,B,35,Y,Y,Y,0.1848238772569999,0.6738370525,2.08672119484,0.107813928371,N,10 Other Federal Aid Eligible Local Roads,2700,173.50975242,0,0, , ,0,0,0,1399,1409,-5.763364802569637,5.763364802569637,5.763364802569637
92815,92815,71655,430076.9,4507196.0,71654,430164.0,4507195.6,2700 S,B,35,Y,Y,Y,0.0927805453713999,0.338262405,1.04752228645,0.0541219848169,N,10 Other Federal Aid Eligible Local Roads,2700,87.10091848019998,0,0, , ,0,0,0,1395,1399,-4.592374075721476,4.592374075721476,4.592374075721476
92816,92816,71656,429964.2,4507197.0,71655,430076.9,4507196.0,2700 S,B,35,Y,Y,Y,0.120053602971,0.4376954275,1.35544390452,0.0700312683938,N,10 Other Federal Aid Eligible Local Roads,2700,112.70443647,0,0, , ,0,0,0,1391,1395,-3.5491060736235807,3.5491060736235807,3.5491060736235807
92818,92818,71658,429936.0,4507197.500000001,71590,429934.5,4507109.94,CONNOR ST,B,25,Y,Y,Y,0.13059654672,0.296810333455,1.05319795742,0.0544152277559,N,"11 Other Local, Neighborhood, Rural Roads",0,87.57284739059999,0,0, , ,0,0,0,1390,1389,1.1419064582195364,-1.1419064582195364,1.1419064582195364
92819,92819,71658,429936.0,4507197.500000001,71656,429964.2,4507197.0,2700 S,B,35,Y,Y,Y,0.0300435708,0.109533851875,0.339201605806,0.0175254162871,N,10 Other Federal Aid Eligible Local Roads,2700,28.2044322748,0,0, , ,0,0,0,1390,1391,-3.545542027780778,3.545542027780778,3.545542027780778
92820,92820,71659,429793.5,4507198.6,71607,429793.3,4507129.6,2100 E,B,25,Y,Y,Y,0.10289946984,0.233862431455,0.829834434194,0.0428747791072,N,"11 Other Local, Neighborhood, Rural Roads",0,69.0002898545,0,0, , ,0,0,0,1387,1386,1.449269274243176,-1.449269274243176,1.449269274243176
92821,92821,71659,429793.5,4507198.6,71658,429936.0,4507197.500000001,2700 S,B,35,Y,Y,Y,0.151797618857,0.55342881875,1.71384408387,0.0885486109953,N,10 Other Federal Aid Eligible Local Roads,2700,142.505219901,0,0, , ,0,0,0,1387,1390,-2.105186043068551,2.105186043068551,2.105186043068551
92824,92824,71661,429656.4,4507200.0,71606,429655.6,4507128.419999999,YUMA ST,B,25,Y,Y,Y,0.1067532333599999,0.242620984909,0.8609131722579999,0.0444805139487,N,"11 Other Local, Neighborhood, Rural Roads",0,71.58447038670002,0,0, , ,0,0,0,1384,1384,0.0,0.0,0.0
92825,92825,71661,429656.4,4507200.0,71659,429793.5,4507198.6,2700 S,B,35,Y,Y,Y,0.146047552457,0.532465035,1.64892397935,0.0851944055854,N,10 Other Federal Aid Eligible Local Roads,2700,137.10714788,0,0, , ,0,0,0,1384,1387,-2.188069729687385,2.188069729687385,2.188069729687385
92826,92826,71662,429548.9,4507200.6,71552,429546.5,4507067.5,2000 E,B,25,Y,Y,Y,0.19852301784,0.516987025625,1.60099207935,0.0827179241503,N,10 Other Federal Aid Eligible Local Roads,12000,133.121636108,1,1, , ,0,0,0,1382,1381,0.7511926905621201,-0.7511926905621201,0.7511926905621201
92827,92827,71662,429548.9,4507200.6,71661,429656.4,4507200.0,2700 S,B,35,Y,Y,Y,0.114511582114,0.417490143125,1.29287270129,0.0667984229263,N,10 Other Federal Aid Eligible Local Roads,2700,107.501674404,1,1, , ,0,0,0,1382,1384,-1.86043613840268,1.86043613840268,1.86043613840268
